memorySize;4KB_FLAT_C;4KB_FLAT_R;4KB_NESTED_C;4KB_NESTED_R;64KB_FLAT_C;64KB_FLAT_R;64KB_NESTED_C;64KB_NESTED_R;128KB_FLAT_C;128KB_FLAT_R;128KB_NESTED_C;128KB_NESTED_R;256KB_FLAT_C;256KB_FLAT_R;256KB_NESTED_C;256KB_NESTED_R;400KB_FLAT_C;400KB_FLAT_R;400KB_NESTED_C;400KB_NESTED_R
128;34;39;88;102;53;58;728;931;58;60;1442;1663;94;76;2882;3536;133;104;4539;5474
256;15;18;36;42;24;24;359;445;29;30;712;847;41;36;1439;1734;60;47;2280;2782
384;8;8;21;22;11;13;234;286;16;17;475;564;25;21;962;1160;33;28;1530;1844
512;6;7;11;14;8;8;170;210;12;12;347;425;18;17;713;872;25;22;1129;1394
640;5;5;9;11;7;8;133;169;10;11;280;338;17;15;574;700;23;21;910;1120
768;5;5;9;9;8;8;117;138;11;10;240;280;17;14;492;581;22;19;777;931
896;5;5;9;9;7;7;103;122;10;10;206;244;15;14;426;506;22;19;673;808
1024;5;5;9;9;7;7;91;108;10;11;182;216;15;15;375;444;20;19;592;711
1152;5;5;9;9;7;7;83;100;10;9;167;198;14;13;338;403;20;18;534;637
1280;5;5;9;9;7;7;77;92;11;10;155;181;14;14;312;368;20;18;490;582
1408;5;5;9;9;8;7;71;85;10;10;141;166;14;13;284;339;20;17;447;537
1536;5;5;9;9;7;7;69;82;10;10;133;159;14;12;264;317;20;17;416;499
1664;5;5;8;9;7;7;67;79;10;10;129;152;14;12;255;304;20;17;403;481
1792;5;5;9;9;7;7;65;76;10;10;122;144;14;13;236;280;20;18;367;441
1920;5;5;9;9;7;7;65;76;11;10;123;145;14;12;237;283;20;18;372;443
2048;5;5;8;9;7;7;64;76;10;10;122;143;14;13;234;279;20;18;365;439
